"","DATE","TIME","CH4_dry","CO2_dry","CO","Fractional_hours","N_points","track_seg_point_id","ele","time","geometry"
"71","2020-11-30","04:09:43.028",1.83655729,417.44170996,-0.224098777225,"8033.1492",2,264,67.43,2020-11-30 17:08:57,c(174.7219597455, -36.8781928159)
"72","2020-11-30","04:09:47.891",1.8374928886,418.023026885,-0.27527412082,"8033.1506",2,265,66.47,2020-11-30 17:09:02,c(174.7216780297, -36.8784586061)
"73","2020-11-30","04:09:52.783",1.8378408985,416.51435537,-0.42551950358,"8033.1519",2,266,66.95,2020-11-30 17:09:07,c(174.7214383911, -36.8787032738)
"74","2020-11-30","04:09:58.289",1.8368565888,413.62248956,-0.45410606998,"8033.1533",2,267,69.35,2020-11-30 17:09:12,c(174.7211083956, -36.8790441658)
"75","2020-11-30","04:10:00.724",1.83531305043333,413.677356833333,-0.318969865426667,"8033.1547",3,268,72.24,2020-11-30 17:09:17,c(174.7207227442, -36.8794036657)
"76","2020-11-30","04:10:08.085",1.8378041041,412.944053905,-0.31568493839,"8033.1561",2,269,74.64,2020-11-30 17:09:22,c(174.7204020526, -36.8797031511)
"77","2020-11-30","04:10:13.009",1.83766527355,412.92131558,-0.310252537755,"8033.1575",2,270,76.56,2020-11-30 17:09:27,c(174.7201522719, -36.8799274508)
"78","2020-11-30","04:10:17.926",1.83833117375,413.869295535,-0.311019681095,"8033.1589",2,271,78,2020-11-30 17:09:32,c(174.7198247071, -36.8802535068)
"79","2020-11-30","04:10:23.594",1.83664011455,413.611051715,-0.309666638035,"8033.1603",2,272,80.41,2020-11-30 17:09:37,c(174.7193989065, -36.8806446064)
"80","2020-11-30","04:10:26.032",1.83611733406667,413.108095593333,-0.310266404713333,"8033.1617",3,273,82.81,2020-11-30 17:09:42,c(174.7190420888, -36.8810055312)
"81","2020-11-30","04:10:33.269",1.8363226677,411.91135677,-0.312130394095,"8033.1631",2,274,81.37,2020-11-30 17:09:47,c(174.7187729459, -36.881254809)
"82","2020-11-30","04:10:35.813",1.83627290403333,411.71205457,-0.3114094874,"8033.1644",3,275,78.48,2020-11-30 17:09:52,c(174.7183836903, -36.8816223554)
"83","2020-11-30","04:10:40.684",1.8371568208,411.94653201,-0.308887797933333,"8033.1658",3,276,76.56,2020-11-30 17:09:57,c(174.7180601489, -36.8819982838)
"84","2020-11-30","04:10:45.993",1.83639502116667,417.154416956667,-0.293791786823333,"8033.1672",3,277,74.16,2020-11-30 17:10:02,c(174.7178485896, -36.8822021317)
"85","2020-11-30","04:10:50.934",1.83791699185,417.27567474,-0.22033567579,"8033.1686",2,278,74.64,2020-11-30 17:10:07,c(174.717863258, -36.8822096754)
"86","2020-11-30","04:11:00.976",1.8374446782,432.14690277,-0.0274645690945,"8033.1714",2,280,75.6,2020-11-30 17:10:17,c(174.7173088789, -36.8826951552)
"87","2020-11-30","04:11:06.661",1.83654664495,421.995463895,-0.217662979695,"8033.1728",2,281,77.52,2020-11-30 17:10:22,c(174.7169317771, -36.8830479495)
"88","2020-11-30","04:11:11.674",1.8351497802,433.743770565,-0.23389867296,"8033.1742",2,282,80.41,2020-11-30 17:10:27,c(174.7166462895, -36.8833482731)
"89","2020-11-30","04:11:16.614",1.83547962195,432.272950885,-0.24659589802,"8033.1756",2,283,81.85,2020-11-30 17:10:32,c(174.7164343949, -36.8835564796)
"90","2020-11-30","04:11:21.543",1.83663995285,429.99866377,-0.232580366645,"8033.1769",2,284,82.81,2020-11-30 17:10:37,c(174.716329705, -36.8836367782)
"91","2020-11-30","04:11:26.450",1.83662262585,427.22585945,-0.21669024268,"8033.1783",2,285,82.33,2020-11-30 17:10:42,c(174.7163055651, -36.8835941143)
"92","2020-11-30","04:11:31.282",1.84354704505,462.890714475,0.119050968447,"8033.1797",2,286,82.33,2020-11-30 17:10:47,c(174.7162844427, -36.8836385384)
"93","2020-11-30","04:11:36.188",1.85120796355,528.369745185,0.36059708885,"8033.1811",2,287,82.33,2020-11-30 17:10:52,c(174.7160993703, -36.883792514)
"94","2020-11-30","04:11:41.108",1.8529189564,515.645969093333,0.318112064503333,"8033.1825",3,288,82.33,2020-11-30 17:10:57,c(174.7157387808, -36.8840061687)
"95","2020-11-30","04:11:45.989",1.8520168456,495.28468806,0.00224855929499999,"8033.1839",2,289,82.33,2020-11-30 17:11:02,c(174.7153603379, -36.8842281215)
"96","2020-11-30","04:11:51.586",1.8389533394,420.20597182,-0.246483401375,"8033.1853",2,290,87.62,2020-11-30 17:11:07,c(174.7150135785, -36.8845413532)
"97","2020-11-30","04:11:57.038",1.83548050265,415.76617286,-0.20847213141,"8033.1867",2,291,87.14,2020-11-30 17:11:12,c(174.7146534082, -36.8848824967)
"98","2020-11-30","04:12:01.947",1.8411599832,440.118195065,-0.06075469023005,"8033.1881",2,292,86.18,2020-11-30 17:11:17,c(174.7142935731, -36.885228334)
"99","2020-11-30","04:12:06.815",1.84450153945,454.06374705,0.095323170902,"8033.1894",2,293,85.69,2020-11-30 17:11:22,c(174.7140159644, -36.8855504505)
